Year,New Home sales in toronto (condo+single family) ,,,,
Sep-20,585,,,,
Aug-20,1448,,,,
Jul-20,783,,,,
Jun-20,414,,,,
May-20,222,,,,
Apr-20,328,,,,
Mar-20,1870,,,2016,19195
Feb-20,1310,,,2017,22567
Jan-20,676,,,2018,14096
Dec-19,1284,,,2019,14916
Nov-19,2232,,,2020,7636
Oct-19,1754,,,,
Sep-19,1506,,,,
Aug-19,727,,,,
Jul-19,1374,,,,
Jun-19,1464,,,,
May-19,1351,,,,
Apr-19,1082,,,,
Mar-19,953,,,,
Feb-19,591,,,,
Jan-19,598,,,,
Dec-18,452,,,,
Nov-18,1361,,,,
Oct-18,2958,,,,
Sep-18,1040,,,,
Aug-18,797,,,,
Jul-18,1542,,,,
Jun-18,1275,,,,
May-18,1356,,,,
Apr-18,608,,,,
Mar-18,1051,,,,
Feb-18,1056,,,,
Jan-18,600,,,,
Dec-17,414,,,,
Nov-17,2544,,,,
Oct-17,4162,,,,
Sep-17,1069,,,,
Aug-17,605,,,,
Jul-17,1124,,,,
Jun-17,2635,,,,
May-17,1732,,,,
Apr-17,1679,,,,
Mar-17,3721,,,,
Feb-17,1864,,,,
Jan-17,1018,,,,
Dec-16,1715,,,,
Nov-16,2788,,,,
Oct-16,1492,,,,
Sep-16,2004,,,,
Aug-16,1441,,,,
Jul-16,1759,,,,
Jun-16,1673,,,,
May-16,1476,,,,
Apr-16,1490,,,,
Mar-16,1422,,,,
Feb-16,1071,,,,
Jan-16,864,,,,
